"bdgt_id","dma1_name","chan3_name","chan2_name","chan1_name","client_id","chan3_id","chan2_id","chan1_id","dma1_id","sp_min_h","percent_max","sp_max_h"
"116_225_181_146","National","Brand","General Market","Television",40,116,225,181,146,NULL,NULL,NULL
"116_225_183_146","National","Brand","General Market","Online Display",40,116,225,183,146,NULL,NULL,NULL
"116_225_187_146","National","Brand","General Market","Outdoor",40,116,225,187,146,NULL,NULL,NULL
"116_225_65_146","National","Brand","General Market","Newspaper",40,116,225,65,146,NULL,NULL,NULL
"116_225_72_146","National","Brand","General Market","Radio",40,116,225,72,146,NULL,NULL,NULL
"116_226_181_146","National","Brand","Diverse Segment","Television",40,116,226,181,146,NULL,NULL,NULL
"116_226_65_146","National","Brand","Diverse Segment","Newspaper",40,116,226,65,146,NULL,NULL,NULL
"116_226_72_146","National","Brand","Diverse Segment","Radio",40,116,226,72,146,NULL,NULL,NULL
"131_225_181_146","National","Deposits","General Market","Television",40,131,225,181,146,NULL,NULL,NULL
"131_225_182_146","National","Deposits","General Market","Paid Search",40,131,225,182,146,NULL,NULL,NULL
"131_225_183_146","National","Deposits","General Market","Online Display",40,131,225,183,146,NULL,NULL,NULL
"131_225_187_146","National","Deposits","General Market","Outdoor",40,131,225,187,146,NULL,NULL,NULL
"131_225_65_146","National","Deposits","General Market","Newspaper",40,131,225,65,146,NULL,NULL,NULL
"131_225_72_146","National","Deposits","General Market","Radio",40,131,225,72,146,NULL,NULL,NULL
"131_75_376_146","National","Deposits","Direct Mail","Direct Mail Acq/Prosp",40,131,75,376,146,NULL,NULL,NULL
"131_75_377_146","National","Deposits","Direct Mail","Direct Mail Xsell/Recap",40,131,75,377,146,NULL,NULL,NULL
"132_225_181_146","National","Traffic Driving","General Market","Television",40,132,225,181,146,NULL,NULL,NULL
"132_225_183_146","National","Traffic Driving","General Market","Online Display",40,132,225,183,146,NULL,NULL,NULL
"132_225_185_146","National","Traffic Driving","General Market","Magazine",40,132,225,185,146,NULL,NULL,NULL
"132_225_187_146","National","Traffic Driving","General Market","Outdoor",40,132,225,187,146,NULL,NULL,NULL
"132_225_65_146","National","Traffic Driving","General Market","Newspaper",40,132,225,65,146,NULL,NULL,NULL
"132_225_72_146","National","Traffic Driving","General Market","Radio",40,132,225,72,146,NULL,NULL,NULL
"133_226_65_146","National","Remittance","Diverse Segment","Newspaper",40,133,226,65,146,NULL,NULL,NULL
"134_225_181_146","National","Mortgage","General Market","Television",40,134,225,181,146,NULL,NULL,NULL
"134_225_182_146","National","Mortgage","General Market","Paid Search",40,134,225,182,146,NULL,NULL,NULL
"134_225_183_146","National","Mortgage","General Market","Online Display",40,134,225,183,146,NULL,NULL,NULL
"134_225_72_146","National","Mortgage","General Market","Radio",40,134,225,72,146,NULL,NULL,NULL
"134_226_72_146","National","Mortgage","Diverse Segment","Radio",40,134,226,72,146,NULL,NULL,NULL
"135_75_377_146","National","Core Credit Card","Direct Mail","Direct Mail Xsell/Recap",40,135,75,377,146,NULL,NULL,NULL
"135_75_378_146","National","Core Credit Card","Direct Mail","Mortgage Inserts",40,135,75,378,146,NULL,NULL,NULL
"136_75_377_146","National","Student Credit Card","Direct Mail","Direct Mail Xsell/Recap",40,136,75,377,146,NULL,NULL,NULL
"137_75_377_146","National","Lines & Loans","Direct Mail","Direct Mail Xsell/Recap",40,137,75,377,146,NULL,NULL,NULL
"138_75_377_146","National","Home Equity","Direct Mail","Direct Mail Xsell/Recap",40,138,75,377,146,NULL,NULL,NULL
"139_225_181_146","National","Small Business","General Market","Television",40,139,225,181,146,NULL,NULL,NULL
"139_225_183_146","National","Small Business","General Market","Online Display",40,139,225,183,146,NULL,NULL,NULL
"139_225_185_146","National","Small Business","General Market","Magazine",40,139,225,185,146,NULL,NULL,NULL
"139_225_187_146","National","Small Business","General Market","Outdoor",40,139,225,187,146,NULL,NULL,NULL
"139_225_65_146","National","Small Business","General Market","Newspaper",40,139,225,65,146,NULL,NULL,NULL
"139_225_72_146","National","Small Business","General Market","Radio",40,139,225,72,146,NULL,NULL,NULL
"140_75_376_146","National","SMB Deposits","Direct Mail","Direct Mail Acq/Prosp",40,140,75,376,146,NULL,NULL,NULL
"140_75_377_146","National","SMB Deposits","Direct Mail","Direct Mail Xsell/Recap",40,140,75,377,146,NULL,NULL,NULL
"141_75_376_146","National","Business Direct Lines","Direct Mail","Direct Mail Acq/Prosp",40,141,75,376,146,NULL,NULL,NULL
"141_75_377_146","National","Business Direct Lines","Direct Mail","Direct Mail Xsell/Recap",40,141,75,377,146,NULL,NULL,NULL
"142_75_377_146","National","Business Direct Credit","Direct Mail","Direct Mail Xsell/Recap",40,142,75,377,146,NULL,NULL,NULL
"143_225_181_146","National","WBR Brokerage","General Market","Television",40,143,225,181,146,NULL,NULL,NULL
"143_225_182_146","National","WBR Brokerage","General Market","Paid Search",40,143,225,182,146,NULL,NULL,NULL
"143_225_183_146","National","WBR Brokerage","General Market","Online Display",40,143,225,183,146,NULL,NULL,NULL
"143_225_185_146","National","WBR Brokerage","General Market","Magazine",40,143,225,185,146,NULL,NULL,NULL
"143_225_65_146","National","WBR Brokerage","General Market","Newspaper",40,143,225,65,146,NULL,NULL,NULL
"144_225_181_146","National","WBR Retirement","General Market","Television",40,144,225,181,146,NULL,NULL,NULL
"144_225_182_146","National","WBR Retirement","General Market","Paid Search",40,144,225,182,146,NULL,NULL,NULL
"144_225_183_146","National","WBR Retirement","General Market","Online Display",40,144,225,183,146,NULL,NULL,NULL
"144_225_185_146","National","WBR Retirement","General Market","Magazine",40,144,225,185,146,NULL,NULL,NULL
"145_75_376_146","National","WBR","Direct Mail","Direct Mail Acq/Prosp",40,145,75,376,146,NULL,NULL,NULL
"146_75_376_146","National","Purchase Mortgage","Direct Mail","Direct Mail Acq/Prosp",40,146,75,376,146,NULL,NULL,NULL
"147_75_376_146","National","Refi Mortgage","Direct Mail","Direct Mail Acq/Prosp",40,147,75,376,146,NULL,NULL,NULL
"147_75_377_146","National","Refi Mortgage","Direct Mail","Direct Mail Xsell/Recap",40,147,75,377,146,NULL,NULL,NULL
